run_accession	sample_accession	collection_date	fastq_ftp	country
SRR11494532	SAMN14546646	2020-03-17	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/032/SRR11494532/SRR11494532_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/032/SRR11494532/SRR11494532_2.fastq.gz	Australia: Victoria
SRR11494534	SAMN14546644	2020-03-16	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/034/SRR11494534/SRR11494534_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/034/SRR11494534/SRR11494534_2.fastq.gz	Australia: Victoria
SRR11494536	SAMN14546642	2020-03-16	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/036/SRR11494536/SRR11494536_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/036/SRR11494536/SRR11494536_2.fastq.gz	Australia: Victoria
SRR11494539	SAMN14546639	2020-02-23	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/039/SRR11494539/SRR11494539_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/039/SRR11494539/SRR11494539_2.fastq.gz	Australia: Victoria
SRR11494542	SAMN14546637	2020-03-22	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/042/SRR11494542/SRR11494542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/042/SRR11494542/SRR11494542_2.fastq.gz	Australia: Victoria
SRR11494543	SAMN14546636	2020-03-22	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/043/SRR11494543/SRR11494543_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/043/SRR11494543/SRR11494543_2.fastq.gz	Australia: Victoria
SRR11494545	SAMN14546634	2020-03-22	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/045/SRR11494545/SRR11494545_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/045/SRR11494545/SRR11494545_2.fastq.gz	Australia: Victoria
SRR11494547	SAMN14546632	2020-03-21	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/047/SRR11494547/SRR11494547_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/047/SRR11494547/SRR11494547_2.fastq.gz	Australia: Victoria
SRR11494550	SAMN14546909	2020-03-16	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/050/SRR11494550/SRR11494550_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/050/SRR11494550/SRR11494550_2.fastq.gz	Australia: Victoria
SRR11494551	SAMN14546908	2020-03-16	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/051/SRR11494551/SRR11494551_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/051/SRR11494551/SRR11494551_2.fastq.gz	Australia: Victoria
SRR11494552	SAMN14546629	2020-03-20	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/052/SRR11494552/SRR11494552_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/052/SRR11494552/SRR11494552_2.fastq.gz	Australia: Victoria
SRR11494553	SAMN14546907	2020-03-16	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/053/SRR11494553/SRR11494553_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/053/SRR11494553/SRR11494553_2.fastq.gz	Australia: Victoria
SRR11494556	SAMN14546904	2020-03-16	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/056/SRR11494556/SRR11494556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/056/SRR11494556/SRR11494556_2.fastq.gz	Australia: Victoria
SRR11494557	SAMN14546903	2020-03-15	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/057/SRR11494557/SRR11494557_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/057/SRR11494557/SRR11494557_2.fastq.gz	Australia: Victoria
SRR11494558	SAMN14546902	2020-03-15	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/058/SRR11494558/SRR11494558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/058/SRR11494558/SRR11494558_2.fastq.gz	Australia: Victoria
SRR11494560	SAMN14546900	2020-03-15	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/060/SRR11494560/SRR11494560_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/060/SRR11494560/SRR11494560_2.fastq.gz	Australia: Victoria
SRR11494561	SAMN14546899	2020-03-15	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/061/SRR11494561/SRR11494561_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/061/SRR11494561/SRR11494561_2.fastq.gz	Australia: Victoria
SRR11494562	SAMN14546898	2020-03-15	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/062/SRR11494562/SRR11494562_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/062/SRR11494562/SRR11494562_2.fastq.gz	Australia: Victoria
SRR11494563	SAMN14546628	2020-03-20	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/063/SRR11494563/SRR11494563_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/063/SRR11494563/SRR11494563_2.fastq.gz	Australia: Victoria
SRR11494565	SAMN14546897	2020-03-15	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/065/SRR11494565/SRR11494565_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/065/SRR11494565/SRR11494565_2.fastq.gz	Australia: Victoria
SRR11494568	SAMN14546894	2020-03-14	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/068/SRR11494568/SRR11494568_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/068/SRR11494568/SRR11494568_2.fastq.gz	Australia: Victoria
SRR11494569	SAMN14546893	2020-03-14	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/069/SRR11494569/SRR11494569_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/069/SRR11494569/SRR11494569_2.fastq.gz	Australia: Victoria
SRR11494571	SAMN14546891	2020-03-14	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/071/SRR11494571/SRR11494571_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/071/SRR11494571/SRR11494571_2.fastq.gz	Australia: Victoria
SRR11494572	SAMN14546890	2020-03-14	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/072/SRR11494572/SRR11494572_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/072/SRR11494572/SRR11494572_2.fastq.gz	Australia: Victoria
SRR11494573	SAMN14546889	2020-03-14	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/073/SRR11494573/SRR11494573_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/073/SRR11494573/SRR11494573_2.fastq.gz	Australia: Victoria
SRR11494575	SAMN14546627	2020-03-20	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/075/SRR11494575/SRR11494575_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/075/SRR11494575/SRR11494575_2.fastq.gz	Australia: Victoria
SRR11494576	SAMN14546887	2020-03-14	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/076/SRR11494576/SRR11494576_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/076/SRR11494576/SRR11494576_2.fastq.gz	Australia: Victoria
SRR11494578	SAMN14546885	2020-03-14	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/078/SRR11494578/SRR11494578_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/078/SRR11494578/SRR11494578_2.fastq.gz	Australia: Victoria
SRR11494582	SAMN14546881	2020-03-13	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/082/SRR11494582/SRR11494582_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/082/SRR11494582/SRR11494582_2.fastq.gz	Australia: Victoria
SRR11494583	SAMN14546880	2020-03-13	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/083/SRR11494583/SRR11494583_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/083/SRR11494583/SRR11494583_2.fastq.gz	Australia: Victoria
SRR11494585	SAMN14546878	2020-03-13	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/085/SRR11494585/SRR11494585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/085/SRR11494585/SRR11494585_2.fastq.gz	Australia: Victoria
SRR11494587	SAMN14546877	2020-03-13	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/087/SRR11494587/SRR11494587_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/087/SRR11494587/SRR11494587_2.fastq.gz	Australia: Victoria
SRR11494589	SAMN14546875	2020-03-13	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/089/SRR11494589/SRR11494589_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/089/SRR11494589/SRR11494589_2.fastq.gz	Australia: Victoria
SRR11494594	SAMN14546870	2020-03-12	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/094/SRR11494594/SRR11494594_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/094/SRR11494594/SRR11494594_2.fastq.gz	Australia: Victoria
